city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Shenzhen,22.5431,114.0579,2026-03-18T00:00,19.7,58,35.0,37.7,66.3,41.5,421.0,0.0,0.0,0.0,154.0
Shenzhen,22.5431,114.0579,2026-03-18T01:00,21.1,60,29.9,34.2,58.8,36.3,373.0,0.0,0.0,0.0,385.0
Shenzhen,22.5431,114.0579,2026-03-18T02:00,22.6,61,21.7,26.3,48.4,29.1,291.0,0.0,0.0,0.0,600.0
Shenzhen,22.5431,114.0579,2026-03-18T03:00,23.9,61,19.6,24.4,40.3,23.7,230.0,0.0,0.0,0.0,758.0
Shenzhen,22.5431,114.0579,2026-03-18T04:00,24.5,61,19.0,23.8,36.5,21.9,216.0,0.0,0.0,0.0,808.0
Shenzhen,22.5431,114.0579,2026-03-18T05:00,24.8,61,18.5,23.2,35.0,22.0,223.0,0.0,0.0,0.0,837.0
Shenzhen,22.5431,114.0579,2026-03-18T06:00,24.9,61,18.1,22.7,35.6,22.5,233.0,0.0,0.0,0.0,844.0
Shenzhen,22.5431,114.0579,2026-03-18T07:00,25.1,61,17.2,21.3,37.8,22.7,225.0,0.0,0.0,0.0,753.0
Shenzhen,22.5431,114.0579,2026-03-18T08:00,24.8,61,17.5,21.4,42.1,23.5,220.0,0.0,0.0,0.0,572.0
Shenzhen,22.5431,114.0579,2026-03-18T09:00,24.2,61,16.8,20.0,49.5,25.8,261.0,0.0,0.0,0.0,349.0
Shenzhen,22.5431,114.0579,2026-03-18T10:00,23.5,61,17.9,20.9,62.8,30.6,378.0,0.0,0.0,0.0,142.0
Shenzhen,22.5431,114.0579,2026-03-18T11:00,23.0,61,28.3,31.1,79.1,37.0,541.0,0.0,0.0,0.0,11.0
Shenzhen,22.5431,114.0579,2026-03-18T12:00,22.9,61,42.5,45.9,92.6,45.6,709.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T13:00,22.4,61,55.1,58.4,91.9,51.0,886.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T14:00,22.0,62,68.2,71.5,91.0,58.3,1069.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T15:00,21.7,63,81.0,84.3,90.1,63.6,1200.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T16:00,21.4,65,89.6,93.4,89.6,64.6,1258.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T17:00,21.0,67,92.0,96.2,89.2,63.5,1266.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T18:00,20.9,69,90.6,95.0,88.6,63.0,1233.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T19:00,20.5,71,88.5,93.1,87.9,63.9,1132.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T20:00,20.2,73,90.3,94.8,87.0,65.4,991.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T21:00,19.8,75,88.5,92.2,85.3,67.5,901.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T22:00,19.5,77,82.4,86.1,82.9,72.0,937.0,0.0,0.0,0.0,0.0
Shenzhen,22.5431,114.0579,2026-03-18T23:00,19.3,79,81.0,84.1,79.7,77.1,1024.0,0.0,0.0,0.0,11.0
Shenzhen,22.5431,114.0579,2026-03-19T00:00,20.8,80,81.3,82.9,49.6,91.1,1030.0,0.0,0.0,0.0,154.0
Shenzhen,22.5431,114.0579,2026-03-19T01:00,22.3,82,46.0,47.5,51.9,93.3,867.0,0.0,0.0,0.0,384.0
