city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Sao_Paulo,-23.5505,-46.6333,2026-03-18T00:00,22.6,61,44.2,44.7,51.5,15.3,437.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T01:00,22.1,62,43.9,44.5,49.9,15.0,442.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T02:00,21.7,62,45.4,45.9,47.8,14.7,441.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T03:00,21.2,63,48.3,48.9,46.8,14.7,438.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T04:00,20.7,63,50.4,50.9,47.8,15.3,433.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T05:00,20.2,64,53.0,53.4,49.9,16.2,426.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T06:00,20.4,64,54.6,55.1,51.6,17.0,418.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T07:00,19.9,65,55.3,55.6,53.0,17.3,401.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T08:00,19.5,66,55.3,55.5,54.1,17.4,383.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T09:00,19.2,67,56.7,56.9,52.9,18.0,393.0,0.0,0.0,0.0,0.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T10:00,19.2,67,61.9,62.2,48.3,20.1,466.0,0.0,0.0,0.0,42.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T11:00,20.8,68,66.1,66.1,41.5,22.7,566.0,0.0,0.0,0.0,213.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T12:00,23.8,69,38.3,38.3,31.3,25.4,618.0,0.0,0.0,0.0,465.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T13:00,25.9,70,28.2,28.2,24.1,22.0,573.0,0.0,0.0,0.0,683.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T14:00,27.8,72,22.7,22.7,14.2,17.2,479.0,0.0,0.0,0.0,804.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T15:00,28.7,76,21.1,21.2,7.0,13.3,408.0,0.1,0.0,0.1,802.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T16:00,28.8,76,20.8,20.8,4.6,10.9,389.0,0.0,0.0,0.0,679.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T17:00,29.2,74,20.7,20.7,5.0,9.3,393.0,0.0,0.0,0.0,640.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T18:00,29.2,72,19.4,19.6,7.5,8.6,398.0,0.0,0.0,0.0,623.0
Sao_Paulo,-23.5505,-46.6333,2026-03-18T19:00,27.9,71,20.8,21.0,13.4,9.0,400.0,0.3,0.0,0.3,369.0
