city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Jakarta,-6.2088,106.8456,2026-03-18T00:00,25.6,92,81.3,81.7,62.5,43.7,2139.0,0.0,0.0,0.0,69.0
Jakarta,-6.2088,106.8456,2026-03-18T01:00,26.9,92,69.4,70.5,58.4,48.9,2195.0,0.0,0.0,0.0,310.0
Jakarta,-6.2088,106.8456,2026-03-18T02:00,28.4,93,48.4,49.0,52.4,55.9,2073.0,0.0,0.0,0.0,540.0
Jakarta,-6.2088,106.8456,2026-03-18T03:00,30.2,94,36.8,37.0,45.8,59.5,1867.0,0.0,0.0,0.0,728.0
Jakarta,-6.2088,106.8456,2026-03-18T04:00,31.8,94,33.1,33.3,38.2,56.4,1538.0,0.0,0.0,0.0,894.0
Jakarta,-6.2088,106.8456,2026-03-18T05:00,33.2,94,32.2,32.5,30.0,49.9,1125.0,0.0,0.0,0.0,968.0
Jakarta,-6.2088,106.8456,2026-03-18T06:00,34.9,95,32.2,32.5,23.9,44.7,837.0,0.0,0.0,0.0,927.0
Jakarta,-6.2088,106.8456,2026-03-18T07:00,35.1,95,32.4,32.5,16.9,41.5,766.0,0.0,0.0,0.0,748.0
Jakarta,-6.2088,106.8456,2026-03-18T08:00,34.9,95,32.1,32.2,11.9,39.7,821.0,0.0,0.0,0.0,617.0
Jakarta,-6.2088,106.8456,2026-03-18T09:00,31.9,94,31.4,31.7,20.6,41.8,936.0,0.6,0.0,0.6,375.0
Jakarta,-6.2088,106.8456,2026-03-18T10:00,31.6,94,35.4,35.6,56.3,50.9,1147.0,0.0,0.0,0.0,189.0
Jakarta,-6.2088,106.8456,2026-03-18T11:00,30.2,93,63.3,63.6,105.7,63.9,1418.0,0.4,0.0,0.4,59.0
Jakarta,-6.2088,106.8456,2026-03-18T12:00,30.3,93,76.8,77.5,101.0,62.5,1574.0,0.0,0.0,0.0,0.0
Jakarta,-6.2088,106.8456,2026-03-18T13:00,29.1,93,92.0,92.4,96.3,65.3,1485.0,0.5,0.0,0.5,0.0
Jakarta,-6.2088,106.8456,2026-03-18T14:00,28.5,93,99.4,99.7,89.5,69.0,1281.0,0.0,0.0,0.0,0.0
Jakarta,-6.2088,106.8456,2026-03-18T15:00,27.8,93,101.5,102.0,82.6,69.7,1176.0,0.0,0.0,0.0,0.0
Jakarta,-6.2088,106.8456,2026-03-18T16:00,27.4,93,99.2,99.4,76.0,64.9,1337.0,0.0,0.0,0.0,0.0
Jakarta,-6.2088,106.8456,2026-03-18T17:00,27.0,94,93.1,93.6,69.4,57.2,1597.0,0.0,0.0,0.0,0.0
Jakarta,-6.2088,106.8456,2026-03-18T18:00,26.6,94,87.1,87.8,63.6,50.4,1668.0,0.0,0.0,0.0,0.0
