city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
London,51.5074,-0.1278,2026-03-18T00:00,11.0,21,12.6,17.5,42.7,3.6,204.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T01:00,10.7,17,12.5,18.0,32.0,2.8,198.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T02:00,10.3,18,12.1,18.4,26.6,2.3,193.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T03:00,10.0,18,11.9,18.6,26.2,2.2,192.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T04:00,9.7,19,12.7,18.7,28.0,2.1,199.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T05:00,9.2,19,14.5,19.2,30.3,2.3,203.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T06:00,9.0,20,14.6,19.7,35.2,3.1,192.0,0.0,0.0,0.0,0.0
London,51.5074,-0.1278,2026-03-18T07:00,9.1,21,13.9,18.3,40.4,4.0,209.0,0.0,0.0,0.0,34.0
London,51.5074,-0.1278,2026-03-18T08:00,10.5,21,13.6,17.6,39.7,4.0,213.0,0.0,0.0,0.0,163.0
London,51.5074,-0.1278,2026-03-18T09:00,11.9,22,11.2,15.2,27.2,3.1,212.0,0.0,0.0,0.0,314.0
London,51.5074,-0.1278,2026-03-18T10:00,14.1,22,9.6,12.0,20.5,2.6,188.0,0.0,0.0,0.0,445.0
London,51.5074,-0.1278,2026-03-18T11:00,15.9,27,8.6,11.0,15.2,1.9,177.0,0.0,0.0,0.0,543.0
London,51.5074,-0.1278,2026-03-18T12:00,17.2,30,8.3,11.7,13.1,1.7,173.0,0.0,0.0,0.0,598.0
London,51.5074,-0.1278,2026-03-18T13:00,18.3,32,7.1,12.1,12.4,1.6,172.0,0.0,0.0,0.0,601.0
London,51.5074,-0.1278,2026-03-18T14:00,18.9,33,6.9,12.2,13.1,1.6,173.0,0.0,0.0,0.0,552.0
London,51.5074,-0.1278,2026-03-18T15:00,18.3,33,6.7,12.4,14.9,1.6,177.0,0.0,0.0,0.0,456.0
