city,latitude,longitude,time,temperature_2m,aqi,pm2_5,pm10,no2,so2,co,precipitation,rain,showers,shortwave_radiation
Mumbai,19.076,72.8777,2026-03-18T00:00,26.3,68,24.8,44.5,24.3,41.3,557.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T01:00,26.1,67,27.4,48.3,26.1,47.4,617.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T02:00,26.1,66,30.7,52.4,28.4,55.9,720.0,0.0,0.0,0.0,28.0
Mumbai,19.076,72.8777,2026-03-18T03:00,26.1,65,30.7,52.9,28.9,63.2,763.0,0.0,0.0,0.0,167.0
Mumbai,19.076,72.8777,2026-03-18T04:00,26.2,64,32.5,56.2,26.1,69.6,687.0,0.0,0.0,0.0,372.0
Mumbai,19.076,72.8777,2026-03-18T05:00,26.2,63,37.1,63.3,21.4,74.9,550.0,0.0,0.0,0.0,567.0
Mumbai,19.076,72.8777,2026-03-18T06:00,26.4,65,39.6,65.2,16.8,74.8,429.0,0.0,0.0,0.0,744.0
Mumbai,19.076,72.8777,2026-03-18T07:00,26.6,68,38.1,58.7,12.2,65.4,345.0,0.0,0.0,0.0,840.0
Mumbai,19.076,72.8777,2026-03-18T08:00,26.9,68,35.3,53.3,7.7,50.6,276.0,0.0,0.0,0.0,929.0
Mumbai,19.076,72.8777,2026-03-18T09:00,27.0,67,28.6,45.6,4.8,37.9,231.0,0.0,0.0,0.0,900.0
Mumbai,19.076,72.8777,2026-03-18T10:00,27.1,63,22.5,40.0,4.6,29.7,216.0,0.0,0.0,0.0,773.0
Mumbai,19.076,72.8777,2026-03-18T11:00,27.3,57,17.4,34.9,6.0,23.5,223.0,0.0,0.0,0.0,582.0
Mumbai,19.076,72.8777,2026-03-18T12:00,28.2,56,9.8,20.0,8.1,17.5,242.0,0.0,0.0,0.0,352.0
Mumbai,19.076,72.8777,2026-03-18T13:00,28.1,55,9.6,20.6,9.3,17.4,259.0,0.0,0.0,0.0,120.0
Mumbai,19.076,72.8777,2026-03-18T14:00,28.1,54,9.9,21.4,11.1,17.5,287.0,0.0,0.0,0.0,3.0
Mumbai,19.076,72.8777,2026-03-18T15:00,27.9,53,11.5,23.3,13.4,19.8,352.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T16:00,27.8,53,13.6,25.8,16.9,26.2,488.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T17:00,27.7,52,17.1,29.4,20.9,34.7,660.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T18:00,28.1,52,19.5,31.9,23.7,41.8,794.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T19:00,27.8,52,21.0,33.2,24.3,46.2,865.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T20:00,27.7,52,21.2,33.2,23.6,49.1,897.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T21:00,27.4,53,20.6,31.9,22.3,50.4,888.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T22:00,27.2,53,19.6,30.4,20.0,48.8,813.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-18T23:00,27.2,53,18.6,28.9,17.0,45.6,697.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-19T00:00,26.8,53,16.7,26.7,14.7,37.5,607.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-19T01:00,26.8,51,15.8,25.8,14.9,39.7,578.0,0.0,0.0,0.0,0.0
Mumbai,19.076,72.8777,2026-03-19T02:00,26.5,50,18.2,28.2,15.1,42.8,575.0,0.0,0.0,0.0,23.0
Mumbai,19.076,72.8777,2026-03-19T03:00,26.3,47,17.3,27.5,14.6,46.2,559.0,0.0,0.0,0.0,168.0
Mumbai,19.076,72.8777,2026-03-19T04:00,26.6,45,18.1,29.3,12.6,51.1,513.0,0.0,0.0,0.0,336.0
Mumbai,19.076,72.8777,2026-03-19T05:00,26.9,60,22.2,34.3,9.9,56.4,454.0,0.0,0.0,0.0,558.0
Mumbai,19.076,72.8777,2026-03-19T06:00,27.1,64,26.4,38.5,7.6,57.6,394.0,0.0,0.0,0.0,754.0
Mumbai,19.076,72.8777,2026-03-19T07:00,27.2,65,26.5,36.9,5.9,51.5,328.0,0.0,0.0,0.0,794.0
Mumbai,19.076,72.8777,2026-03-19T08:00,27.0,63,24.2,35.3,4.7,41.3,260.0,0.0,0.0,0.0,903.0
Mumbai,19.076,72.8777,2026-03-19T09:00,27.0,61,22.2,35.7,4.2,33.2,216.0,0.0,0.0,0.0,870.0
